model,feature,mean_abs_shap_log_value,rank
Model A - Performance Only,minutes_last_season,0.6638807,1
Model A - Performance Only,age_at_valuation,0.30490783,2
Model A - Performance Only,pos_Goalkeeper,0.08712653,3
Model A - Performance Only,goals_per_90_ls,0.0778692,4
Model A - Performance Only,foot_unknown,0.06736664,5
Model A - Performance Only,assists_per_90_ls,0.047510423,6
Model A - Performance Only,pos_Midfielder,0.027706753,7
Model A - Performance Only,pos_Defender,0.021774795,8
Model A - Performance Only,cards_per_90_ls,0.021308826,9
Model A - Performance Only,pos_Forward,0.009772685,10
Model A - Performance Only,foot_left,0.0071498314,11
Model A - Performance Only,foot_right,0.004176162,12
Model A - Performance Only,foot_both,0.003147664,13
Model A - Performance Only,pos_Other,0.001652417,14
Model B - Market Aware,previous_market_value,1.1471673,1
Model B - Market Aware,age_at_valuation,0.107281566,2
Model B - Market Aware,minutes_last_season,0.048936862,3
Model B - Market Aware,goals_per_90_ls,0.015545879,4
Model B - Market Aware,pos_Goalkeeper,0.0054898104,5
Model B - Market Aware,cards_per_90_ls,0.005242113,6
Model B - Market Aware,assists_per_90_ls,0.0044996734,7
Model B - Market Aware,pos_Defender,0.00424206,8
Model B - Market Aware,pos_Forward,0.003189469,9
Model B - Market Aware,pos_Midfielder,0.003059759,10
Model B - Market Aware,foot_right,0.0023458076,11
Model B - Market Aware,foot_left,0.0017800654,12
Model B - Market Aware,foot_unknown,0.0017082309,13
Model B - Market Aware,foot_both,0.00083387253,14
Model B - Market Aware,pos_Other,0.00045024976,15
