section,segment,numerator,denominator,rate
coverage,total_similarity_players,20305,20305,1.0
coverage,role_metadata_matched,19448,20305,0.9577936468850037
coverage,unmatched_role_metadata,857,20305,0.042206353114996306
quality,duplicate_tmid,0,20305,0.0
quality,missing_main_position,857,20305,0.042206353114996306
quality,missing_foot,2062,20305,0.10155134203398178
role_distribution,CAM,1456,20305,0.07170647623737995
role_distribution,CB,3459,20305,0.17035213001723715
role_distribution,CDM,1616,20305,0.0795863087909382
role_distribution,CF,76,20305,0.0037429204629401626
role_distribution,CM,2145,20305,0.10563900517114011
role_distribution,GK,2090,20305,0.10293031273085447
role_distribution,LB,1381,20305,0.06801280472789953
role_distribution,LM,187,20305,0.009209554296971189
role_distribution,LW,1441,20305,0.07096774193548387
role_distribution,RB,1465,20305,0.0721497168185176
role_distribution,RM,229,20305,0.011278010342280227
role_distribution,RW,1370,20305,0.0674710662398424
role_distribution,ST,2533,20305,0.12474759911351883
role_distribution,UNKNOWN,857,20305,0.042206353114996306
foot_distribution,UNKNOWN,2062,20305,0.10155134203398178
foot_distribution,both,560,20305,0.02757941393745383
foot_distribution,left,4646,20305,0.2288106377739473
foot_distribution,right,13037,20305,0.6420586062546171
position_group_distribution,Defender,6307,20305,0.3106131494705737
position_group_distribution,Goalkeeper,2090,20305,0.10293031273085447
position_group_distribution,Midfielder,5644,20305,0.27796109332676683
position_group_distribution,Striker,5431,20305,0.2674710662398424
position_group_distribution,UNKNOWN,833,20305,0.04102437823196257
