player_id,name,position_group_raw,age_at_valuation,current_club_id,minutes_last_season,goals_per_90_ls,assists_per_90_ls,cards_per_90_ls,target_market_value,predicted_value,undervalued_pct,current_club_domestic_competition_id,current_club_name,league_tier,league_tier_label,league_tier_short,contract_expiry_date,contract_months_remaining,contract_status,contract_status_label,contract_badge,form_trend,form_trend_goals,form_trend_assists,form_trend_minutes,form_mins_a,form_mins_b,undervalued_pct_formatted
936008,Oleksandr Saputin,Goalkeeper,22.09719370294319,10690,2520.0,0.0,0.0,0.0357142857142857,700000,4159000.5,4.941429285714285,UKR1,FC Zorya Lugansk,2,Tier 2 — Strong,Strong,2028-06-30 00:00:00,30.387647831800265,Medium,Medium (24–36 months),📋 Medium,Stable,0.0,0.0,1.0,1260.0,1260.0,494.1%
1083190,Ivan Pakholyuk,Goalkeeper,21.642710472279266,48332,2520.0,0.0,0.0,0.0714285714285714,1000000,3973052.5,2.9730525,UKR1,FK Kolos Kovalivka,2,Tier 2 — Strong,Strong,2027-12-31 00:00:00,24.40867279894875,Medium,Medium (24–36 months),📋 Medium,Rising,0.0,0.0,1.3333333333333333,1440.0,1080.0,297.3%
622477,Timur Magomedov,Goalkeeper,24.26009582477755,75231,2250.0,0.0,0.0,0.0,800000,3036982.8,2.7962284375,RU1,Dinamo Makhachkala,2,Tier 2 — Strong,Strong,2026-06-30 00:00:00,3.1865965834428382,Expiring,Expiring (<12 months),⏰ Expiring,Declining,0.0,0.0,0.5625,810.0,1440.0,279.6%
729010,Tom de Graaff,Goalkeeper,21.24845995893224,1269,2340.0,0.0,0.0,0.0,900000,3164574.0,2.5161933333333333,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,2,Tier 2 — Strong,Strong,2026-06-30 00:00:00,3.6465177398160313,Expiring,Expiring (<12 months),⏰ Expiring,Insufficient Data,,,,2070.0,270.0,251.6%
585202,Marcus Bundgaard,Goalkeeper,24.36139630390144,5817,1860.0,0.0,0.0483870967741935,0.0,850000,2924715.5,2.4408417647058824,DK1,Sønderjyske Fodbold,3,Tier 3 — Competitive,Competitive,2028-06-30 00:00:00,30.4862023653088,Medium,Medium (24–36 months),📋 Medium,Rising,0.0,0.0638297872340425,3.1333333333333333,1410.0,450.0,244.1%
417242,Ruslan Neshcheret,Goalkeeper,23.904175222450377,338,3270.0,0.0,0.0,0.0,3500000,10946521.0,2.1275774285714286,UKR1,Futbolniy Klub Dynamo Kyiv,2,Tier 2 — Strong,Strong,2027-12-31 00:00:00,24.40867279894875,Medium,Medium (24–36 months),📋 Medium,Rising,0.0,0.0,1.3695652173913044,1890.0,1380.0,212.8%
538954,Nikita Kokarev,Goalkeeper,22.937713894592743,2696,1611.0,0.0,0.0,0.0558659217877094,900000,2808125.8,2.120139722222222,RU1,PFK Krylya Sovetov Samara,2,Tier 2 — Strong,Strong,2028-06-30 00:00:00,30.453350854139288,Medium,Medium (24–36 months),📋 Medium,Declining,0.0,0.0,0.6272727272727273,621.0,990.0,212.0%
678503,Danylo Varakuta,Goalkeeper,24.38056125941136,55686,2070.0,0.0,0.0,0.0434782608695652,800000,2240524.5,1.800655625,UKR1,TOV FK Metalist 1925 Kharkiv,2,Tier 2 — Strong,Strong,2029-06-30 00:00:00,39.25755584756899,Long,Long (>36 months),🔒 Long,Rising,0.0,0.0,2.2857142857142856,1440.0,630.0,180.1%
725356,Valentyn Gorokh,Goalkeeper,24.84052019164956,26459,1440.0,0.0,0.0,0.125,500000,1196774.0,1.393548,UKR1,NK Veres Rivne,2,Tier 2 — Strong,Strong,2028-06-30 00:00:00,30.387647831800265,Medium,Medium (24–36 months),📋 Medium,Insufficient Data,,,,1350.0,90.0,139.4%
1159511,Denys Marchenko,Goalkeeper,18.86652977412731,39097,1260.0,0.0,0.0,0.0,600000,1297334.1,1.1622235416666666,UKR1,FK Obolon Kyiv,2,Tier 2 — Strong,Strong,2029-06-30 00:00:00,42.3784494086728,Long,Long (>36 months),🔒 Long,Insufficient Data,,,,270.0,990.0,116.2%
